2025-11-30 18:50:13 | src.adk_agents.logging_monitor | INFO | Agent monitoring system initialized
2025-11-30 18:50:13 | src.adk_agents.mcp.server | DEBUG | API connector registered: yahoo_finance
2025-11-30 18:50:13 | src.adk_agents.mcp.server | DEBUG | API connector registered: marketaux
2025-11-30 18:50:13 | src.adk_agents.mcp.server | INFO | MCP Server initialized
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO | StockAnalyticsOrchestrator initialized with Deterministic ADK Pattern
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO |   Pipeline: StockAnalyticsPipeline (SequentialAgent)
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO |   Layer2: Layer2ParallelAgent (ParallelAgent)
2025-11-30 18:50:13 | src.adk_agents.logging_monitor | INFO | Pipeline started: AAPL_20251130_185013
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO | === Executing ADK Runner for AAPL ===
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO | Pipeline: StockAnalyticsPipeline
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO | Session: adk_AAPL_1764508813
2025-11-30 18:50:13 | src.adk_agents.orchestrator | INFO | DeterministicDataAgent: Fetching data for AAPL
2025-11-30 18:50:13 | src.adk_agents.data_agent | INFO | DataAgent: Fetching data for AAPL...
2025-11-30 18:50:23 | src.adk_agents.data_agent | INFO | DataAgent: Successfully fetched data for AAPL
2025-11-30 18:50:23 | src.adk_agents.data_agent | INFO |   - Price history: 250 days
2025-11-30 18:50:23 | src.adk_agents.data_agent | INFO |   - News articles: 3
2025-11-30 18:50:23 | src.adk_agents.orchestrator | DEBUG | Event from DeterministicDataAgent
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | DeterministicRatioAgent: Calculating ratios
2025-11-30 18:50:23 | src.adk_agents.ratio_agent | INFO | RatioAgent: Calculating ratios for AAPL...
2025-11-30 18:50:23 | src.adk_agents.ratio_agent | INFO | RatioAgent: Calculated 23/24 metrics successfully
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | DeterministicValuationAgent: Calculating valuations
2025-11-30 18:50:23 | src.adk_agents.valuation_agent | INFO | ValuationAgent: Calculating valuations for AAPL...
2025-11-30 18:50:23 | src.adk_agents.valuation_agent | INFO | ValuationAgent: Calculated 10/10 valuation metrics successfully
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | DeterministicRiskAgent: Calculating risks
2025-11-30 18:50:23 | src.adk_agents.risk_agent | INFO | RiskAnalysisAgent: Calculating risks for AAPL...
2025-11-30 18:50:23 | src.adk_agents.risk_agent | INFO | RiskAnalysisAgent: Calculated 10/10 risk metrics successfully
2025-11-30 18:50:23 | src.adk_agents.risk_agent | INFO | RiskAnalysisAgent: Overall assessment - Moderate to Elevated Risk
2025-11-30 18:50:23 | src.adk_agents.orchestrator | DEBUG | Event from DeterministicRatioAgent
2025-11-30 18:50:23 | src.adk_agents.orchestrator | DEBUG | Event from DeterministicRiskAgent
2025-11-30 18:50:23 | src.adk_agents.orchestrator | DEBUG | Event from DeterministicValuationAgent
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | DeterministicPresentationAgent: Generating report
2025-11-30 18:50:23 | src.adk_agents.presentation_agent | INFO | PresentationAgent: Generating report for AAPL...
2025-11-30 18:50:23 | src.adk_agents.presentation_agent | INFO | PresentationAgent: Report generated successfully for AAPL
2025-11-30 18:50:23 | src.adk_agents.orchestrator | DEBUG | Event from DeterministicPresentationAgent
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | ADK Runner complete in 9903ms
2025-11-30 18:50:23 | src.adk_agents.orchestrator | INFO | Session state keys: ['ticker', 'period_days', 'canonical_data', 'ratio_metrics', 'risk_metrics', 'valuation_metrics', 'presentation_output']
2025-11-30 18:50:23 | src.adk_agents.logging_monitor | INFO | Pipeline completed: AAPL_20251130_185013 in 9912ms (0/0 metrics)
2025-11-30 18:50:23 | src.adk_agents.logging_monitor | INFO | Metrics saved to logs\agents\metrics_AAPL_20251130_185013.json
